datetime,agency,observer,adulttotal,puptotal,airtemp,windspeed,winddirection,skycondition,precip,notes
2005-08-29 13:00:00,pebble_abr,Pebble Mine,199,,53.6,10.56,WSW,Mostly Cloudy,,
2005-09-08 15:00:00,pebble_abr,Pebble Mine,64,,53.6,6.84,E,Clear,,
2005-10-10 14:00:00,pebble_abr,Pebble Mine,2,,37.4,8.08,NNE,Mostly Cloudy,,
2005-12-13 12:00:00,pebble_abr,Pebble Mine,0,,32,22.99,E,Overcast,,
2007-05-21 16:00:00,pebble_abr,Pebble Mine,0,,32,8.08,ESE,Partly Cloudy,,updated data
2007-06-20 16:00:00,pebble_abr,Pebble Mine,51,,48.2,4.35,Variable,Clear,,updated data
2007-07-16 15:00:00,pebble_abr,Pebble Mine,238,,50,11.81,SW,Overcast,,updated data
2007-07-27 10:30:00,pebble_abr,Pebble Mine,40,,60.8,,Calm,Clear,,updated data
2007-08-14 13:00:00,pebble_abr,Pebble Mine,311,,48.2,9.32,SW,Light Rain,,
2007-08-15 14:30:00,pebble_abr,Pebble Mine,313,,48.2,8.08,N,Overcast,,
2007-08-29 13:00:00,pebble_abr,Pebble Mine,86,,66.2,6.84,NNW,Partly Cloudy,,updated data
2007-09-12 10:30:00,pebble_abr,Pebble Mine,79,,51.8,5.59,WSW,Overcast,,
2007-10-11 11:00:00,pebble_abr,Pebble Mine,0,,41,13.67,E,Overcast,,
2008-08-02 11:00:00,pebble_abr,Pebble Mine,230,,55.4,5.59,SSE,Overcast,,new data
2008-08-04 13:30:00,pebble_abr,Pebble Mine,204,,57.2,8.08,ESE,Overcast,,new data
2008-08-16 11:00:00,pebble_abr,Pebble Mine,264,,53.6,0,Calm,Overcast,,new data
2008-08-16 17:00:00,pebble_abr,Pebble Mine,264,,57.2,13.67,SSE,Scattered Clouds,,new data
2008-08-17 10:30:00,pebble_abr,Pebble Mine,312,,51.8,3.73,NNE,Mostly Cloudy,,new data
2008-08-17 16:30:00,pebble_abr,Pebble Mine,357,,55.4,14.91,E,Light Rain,,new data
2008-08-18 12:30:00,pebble_abr,Pebble Mine,221,,57.2,3.73,ENE,Overcast,,new data
2009-06-18 00:00:00,newhalen,Newhalen,30,0,,,,,,new data; no survey time
2009-06-21 00:00:00,newhalen,Newhalen,21,0,,,,,,new data; no survey time
2009-06-24 00:00:00,newhalen,Newhalen,81,0,,,,,,new data; no survey time
2009-06-28 00:00:00,newhalen,Newhalen,76,23,,,,,,new data; no survey time
2009-07-07 00:00:00,newhalen,Newhalen,66,11,,,,,,new data; no survey time
2009-07-27 00:00:00,newhalen,Newhalen,87,7,,,,,,new data; no survey time
2009-08-02 00:00:00,newhalen,Newhalen,192,0,,,,,,new data; no survey time
2009-08-16 00:00:00,newhalen,Newhalen,191,0,,,,,,new data; no survey time
2009-08-25 00:00:00,newhalen,Newhalen,74,0,,,,,,new data; no survey time
2009-09-19 00:00:00,newhalen,Newhalen,47,0,,,,,,new data; no survey time
